name,rating,actor
Udta Punjab,7.8,"Abhishek Chaubey (dir.), Shahid Kapoor, Alia Bhatt"
Hindi Medium,7.7,"Saket Chaudhary (dir.), Irrfan Khan, Saba Qamar"
Nayak: The Real Hero,7.7,"S. Shankar (dir.), Anil Kapoor, Rani Mukerji"
Dasvidaniya,7.7,"Shashant Shah (dir.), Vinay Pathak, Sarita Joshi"
Vicky Donor,7.7,"Shoojit Sircar (dir.), Ayushmann Khurrana, Yami Gautam"
Oye Lucky! Lucky Oye!,7.7,"Dibakar Banerjee (dir.), Abhay Deol, Paresh Rawal"
Mumbai Meri Jaan,7.7,"Nishikant Kamat (dir.), Paresh Rawal, Kay Kay Menon"
Raazi,7.7,"Meghna Gulzar (dir.), Alia Bhatt, Vicky Kaushal"
Guru,7.7,"Mani Ratnam (dir.), Mithun Chakraborty, Abhishek Bachchan"
Samsara,7.7,"Pan Nalin (dir.), Shawn Ku, Christy Chung"
Pokiri,7.7,"Puri Jagannadh (dir.), Mahesh Babu, Ileana D'Cruz"
Veer-Zaara,7.7,"Yash Chopra (dir.), Shah Rukh Khan, Preity Zinta"
Earth,7.7,"Deepa Mehta (dir.), Aamir Khan, Nandita Das"
Aamir,7.7,"Raj Kumar Gupta (dir.), Rajeev Khandelwal, Aishwarya"
Kapoor & Sons,7.7,"Shakun Batra (dir.), Sidharth Malhotra, Fawad Khan"
Stree,7.7,"Amar Kaushik (dir.), Rajkummar Rao, Shraddha Kapoor"
Newton,7.7,"Amit Masurkar (dir.), Rajkummar Rao, Pankaj Tripathi"
Agneepath,7.7,"Mukul Anand (dir.), Amitabh Bachchan, Mithun Chakraborty"
Sanju,7.7,"Rajkumar Hirani (dir.), Ranbir Kapoor, Paresh Rawal"
RangiTaranga,7.7,"Anup Bhandari (dir.), Nirup Bhandari, Radhika Chetan"
Eega,7.7,"S.S. Rajamouli (dir.), Sudeep, Nani"
Pyaar Ka Punchnama,7.7,"Luv Ranjan (dir.), Kartik Aaryan, Raayo S. Bakhirta"
Manorama Six Feet Under,7.7,"Navdeep Singh (dir.), Abhay Deol, Gul Panag"
Neerja,7.7,"Ram Madhvani (dir.), Sonam Kapoor, Shabana Azmi"
Madras Cafe,7.7,"Shoojit Sircar (dir.), John Abraham, Nargis Fakhri"
Sarkar,7.6,"Ram Gopal Varma (dir.), Amitabh Bachchan, Abhishek Bachchan"
Kabhi Haan Kabhi Naa,7.6,"Kundan Shah (dir.), Shah Rukh Khan, Suchitra Krishnamoorthi"
Darr,7.6,"Yash Chopra (dir.), Juhi Chawla, Sunny Deol"
Bheja Fry,7.6,"Sagar Ballary (dir.), Vinay Pathak, Rajat Kapoor"
Tanu Weds Manu Returns,7.6,"Aanand L. Rai (dir.), Madhavan, Kangana Ranaut"
Kai po che!,7.6,"Abhishek Kapoor (dir.), Amit Sadh, Sushant Singh Rajput"
Rockstar,7.6,"Imtiaz Ali (dir.), Ranbir Kapoor, Nargis Fakhri"
Kuch Kuch Hota Hai,7.6,"Karan Johar (dir.), Shah Rukh Khan, Kajol"
Magadheera,7.6,"S.S. Rajamouli (dir.), Ram Charan, Kajal Aggarwal"
24,7.6,"Vikram K. Kumar (dir.), Suriya, Samantha Ruth Prabhu"
Ek Hasina Thi,7.6,"Sriram Raghavan (dir.), Saif Ali Khan, Urmila Matondkar"
Baazigar,7.6,"Abbas Alibhai Burmawalla (dir.), Shah Rukh Khan, Kajol"
Highway,7.6,"Imtiaz Ali (dir.), Alia Bhatt, Randeep Hooda"
Parmanu: The Story of Pokhran,7.6,"Abhishek Sharma (dir.), John Abraham, Boman Irani"
Saala Khadoos,7.6,"Sudha Kongara (dir.), Madhavan, Nassar"
M.S. Dhoni: The Untold Story,7.6,"Neeraj Pandey (dir.), Sushant Singh Rajput, Kiara Advani"
Wake Up Sid,7.6,"Ayan Mukherjee (dir.), Ranbir Kapoor, Konkona Sen Sharma"
Jodhaa Akbar,7.6,"Ashutosh Gowariker (dir.), Hrithik Roshan, Aishwarya Rai Bachchan"
Dil Se..,7.6,"Mani Ratnam (dir.), Shah Rukh Khan, Manisha Koirala"
Kaththi,7.5,"A.R. Murugadoss (dir.), Joseph Vijay, Samantha Ruth Prabhu"
Piku,7.5,"Shoojit Sircar (dir.), Deepika Padukone, Amitabh Bachchan"
Devdas,7.5,"Sanjay Leela Bhansali (dir.), Shah Rukh Khan, Aishwarya Rai Bachchan"
Delhi Belly,7.5,"Abhinay Deo (dir.), Imran Khan, Vir Das"
Thuppakki,7.5,"A.R. Murugadoss (dir.), Joseph Vijay, Kajal Aggarwal"
Detective Byomkesh Bakshy!,7.5,"Dibakar Banerjee (dir.), Sushant Singh Rajput, Anand Tiwari"
Aankhen,7.5,"Vipul Amrutlal Shah (dir.), Amitabh Bachchan, Akshay Kumar"
Raanjhanaa,7.5,"Aanand L. Rai (dir.), Dhanush, Sonam Kapoor"
Qayamat Se Qayamat Tak,7.5,"Mansoor Khan (dir.), Aamir Khan, Juhi Chawla"
1 - Nenokkadine,7.5,"Sukumar (dir.), Mahesh Babu, Kriti Sanon"
Trapped,7.5,"Vikramaditya Motwane (dir.), Rajkummar Rao, Geetanjali Thapa"
Rocket Singh: Salesman of the Year,7.5,"Shimit Amin (dir.), Ranbir Kapoor, Prem Chopra"
Khakee,7.5,"Rajkumar Santoshi (dir.), Amitabh Bachchan, Akshay Kumar"
Hungama,7.5,"Priyadarshan (dir.), Akshaye Khanna, Aftab Shivdasani"
The Ghazi Attack,7.5,"Sankalp Reddy (dir.), Rana Daggubati, Kay Kay Menon"
Amar Akbar Anthony,7.5,"Manmohan Desai (dir.), Vinod Khanna, Rishi Kapoor"
Rehnaa Hai Terre Dil Mein,7.5,"Gautham Menon (dir.), Madhavan, Saif Ali Khan"
Hum Dil De Chuke Sanam,7.5,"Sanjay Leela Bhansali (dir.), Aishwarya Rai Bachchan, Salman Khan"
Rangeela,7.5,"Ram Gopal Varma (dir.), Urmila Matondkar, Aamir Khan"
Hum Aapke Hain Koun...!,7.5,"Sooraj R. Barjatya (dir.), Madhuri Dixit, Salman Khan"
Socha Na Tha,7.5,"Imtiaz Ali (dir.), Abhay Deol, Ayesha Takia"
