,title,location,date,link
69,Dental Office Manager, (West Roxbury),Jan 18,https://boston.craigslist.org/gbs/ofc/d/west-roxbury-dental-office-manager/6797899038.html
70,Customer Service Coordinator, (North Reading),Jan 18,https://boston.craigslist.org/nos/ofc/d/north-reading-customer-service/6797894338.html
71,Executive Assistant: Financial C-Suite,N/A,Jan 18,https://boston.craigslist.org/gbs/ofc/d/boston-executive-assistant-financial/6797858454.html
72,Office Administrator / Accounts Receivable Associate," (Beverly, MA)",Jan 18,https://boston.craigslist.org/nos/ofc/d/beverly-office-administrator-accounts/6797817123.html
73,Program Assistant - Higher Education, (Cambridge),Jan 17,https://boston.craigslist.org/gbs/ofc/d/cambridge-program-assistant-higher/6797691581.html
74,Sr. Administrative Assistant, (Boston: Boston/Cambridge/Brookline),Jan 17,https://boston.craigslist.org/gbs/ofc/d/cambridge-sr-administrative-assistant/6797608888.html
75,Legal Assistant up to 70K!, (Boston: Boston/Cambridge/Brookline),Jan 17,https://boston.craigslist.org/gbs/ofc/d/boston-legal-assistant-up-to-70k/6797565421.html
76,"Seeking Educated and IVY League Egg Donors, Earn up to $20,000!", (Thousand Oaks),Jan 17,https://boston.craigslist.org/gbs/ofc/d/thousand-oaks-seeking-educated-and-ivy/6797544967.html
77,Bookkeeper/Office Manager, (Weymouth),Jan 17,https://boston.craigslist.org/sob/ofc/d/weymouth-bookkeeper-office-manager/6797492472.html
78,office help in warehouse, (needham),Jan 17,https://boston.craigslist.org/bmw/ofc/d/newton-upper-falls-office-help-in/6797473110.html
79,LEGAL SECRETARY, (NORTH SHORE),Jan 17,https://boston.craigslist.org/nos/ofc/d/salisbury-legal-secretary/6797456477.html
80,Receptionist, (Cambridge),Jan 17,https://boston.craigslist.org/gbs/ofc/d/receptionist/6797448977.html
81,Executive Assistant -- Financial Services, (financial district),Jan 17,https://boston.craigslist.org/gbs/ofc/d/boston-executive-assistant-financial/6797444997.html
82,Office Manager at clean tech start up!, (Somerville),Jan 17,https://boston.craigslist.org/gbs/ofc/d/somerville-office-manager-at-clean-tech/6797438312.html
83,Administrative Assistant," (Shirley, MA)",Jan 17,https://boston.craigslist.org/bmw/ofc/d/shirley-administrative-assistant/6797425561.html
